REPORTING UNIT,FARM NAME,Tag Number,Replaced Tag Number,Retagging Date,Purchase Date,Tagging Date,Breed,Coat Color,Age,Mandi/City,Purchase Price,Purchase Expense,Mandi Weight,Purchase Weight,Purchase Rate per KG,Landing Weight at Farm,Shrinkage,Quarantine Days,Month 1,Weight,Fattening Days,Weight Gain,Weight Gain per Day,Month 2,Weight,Fattening Days,Weight gain,Weight Gain per Day,Month 3,Weight,Fattening Days,Weight gain,Weight Gain per Day,Month 4,Weight,Fattening Days,Weight gain,Weight Gain per Day,Month 5,Weight,Fattening Days,Weight gain,Weight Gain per Day,Month 6,Weight,Fattening Days,Weight gain,Weight Gain per Day,Month 7,Weight,Fattening Days,Weight gain,Weight Gain per Day,Month 8,Weight,Fattening Days,Weight gain,Weight Gain per Day,Month 9,Weight,Fattening Days,Weight gain,Weight Gain per Day,Date,Vaccine Name,Vaccine Quantity,Date,Vaccine Name,Vaccine Quantity,Date,Vaccine Name,Vaccine Quantity,Date,Vaccine Name,Vaccine Quantity,Date,Vaccine Name,Vaccine Quantity,Date,Vaccine Name,Vaccine Quantity,Date,"Claim Reason 
(death, theft, accident, disease, etc.)",Reported to the insurance company on,Weight at Farm before Loading,Farm Exit Date,Live Cattle Sale Amount,Buyer Name,Slaughter Location,Rejection,Sale Date,Total Carcass Weight,Rejected Weight,Rejected Weight Rate per KG,Accepted Weight Rate per KG,Net Offal Sale Amount,Sale Expenses,Carcass Sale Amount,Net Payment,Payment Date,Animal days,Weight gain per day,Dressing Ratio,Rate Per Kgs,,,First Sum Insured,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated,Sum Insured Dated
46,Farm_7,LSS-7742,,,24-Jul-24,24-Jul-24,desi,brown & white,MT,luddan,"138,000","3,931",252,252,547.62,238,-5.56%,15,27-Aug-24,269,34,31,0.9118,25-Sep-24,292,63,54,0.8571,22-Oct-24,311,90,73,0.8111,28-Nov-24,316,127,78,0.6142,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,418,25-Dec-24,"242,000",Local Party,Lodhran,No,25-Dec-24,,0,0,,,,0,"242,000",,155,1.1613,0.00%,,0,,"141,931","161,120.97","162,318.89","176,671.68","179,702.08","183,129.24","186,264.12","187,185.33","194,465.32","194,465.32","194,465.32","194,465.32","194,465.32","194,465.32","194,465.32","194,465.32","194,465.32","194,465.32",5833.9596,,,
47,Farm_7,LSS-7741,,,24-Jul-24,24-Jul-24,desi,black & brown,2 Teeth,luddan,"139,500","3,806",244,244,571.72,230,-5.74%,15,27-Aug-24,257,34,27,0.7941,25-Sep-24,277,63,47,0.746,22-Oct-24,292,90,62,0.6889,21-Nov-24,320,120,90,0.75,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,320,20-Nov-24,,Sk Livestock,Raiwind,No,1-Dec-24,170,0,0,"1,140","6,500","4,616","193,800","195,684",,120,0.75,53.13%,,0,,"143,306","153,933.41","155,131.34","167,596.08","170,776.48","171,941.28","175,273.38","192,499.74","192,499.74","192,499.74","192,499.74","192,499.74","192,499.74","192,499.74","192,499.74","192,499.74","192,499.74","192,499.74",5774.9922,,,
48,Farm_7,LSS-7753,,,24-Jul-24,24-Jul-24,desi,brown,MT,luddan,"132,500","3,760",241,241,549.79,228,-5.39%,15,27-Aug-24,260,34,32,0.9412,25-Sep-24,300,63,72,1.1429,22-Oct-24,340,90,112,1.2444,11-Nov-24,344,110,116,1.0545,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,344,11-Nov-24,"206,400",SK Live Stock,Raiwind,No,11-Nov-24,,0,0,600,,"3,646",0,"202,754",,111,1.045,0.00%,,0,,"136,260","155,730.30","156,928.23","181,512.00","184,462.40","200,205.60","200,205.60","200,205.60","200,205.60","200,205.60","200,205.60","200,205.60","200,205.60","200,205.60","200,205.60","200,205.60","200,205.60","200,205.60",6006.168,,,
49,Farm_7,LSS-7602,,,24-Jul-24,24-Jul-24,Cross,black & white,2 Teeth,luddan,"155,000","4,430",284,284,545.77,261,-8.10%,15,27-Aug-24,306,34,45,1.3235,25-Sep-24,349,63,88,1.3968,22-Oct-24,377,90,116,1.2889,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,404,12-Nov-24,,SK Live Stock,Raiwind,No,13-Nov-24,203,0,0,"1,100","7,000","4,156","223,300","226,144",,112,1.2768,50.25%,,0,,"159,430","183,282.59","184,480.51","211,158.96","216,204.16","224,997.37","224,997.37","224,997.37","224,997.37","224,997.37","224,997.37","224,997.37","224,997.37","224,997.37","224,997.37","224,997.37","224,997.37","224,997.37",6749.9211,,,
50,Farm_7,LSS-7751,,,24-Jul-24,24-Jul-24,desi,brown,MT,luddan,"146,500","4,024",258,258,567.83,243,-5.81%,15,27-Aug-24,255,34,12,0.3529,25-Sep-24,282,63,39,0.619,22-Oct-24,311,90,68,0.7556,28-Nov-24,321,127,78,0.6142,26-Dec-24,334,155,91,0.5871,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,406,7-Jan-25,"244,000",Local Party,Lodhran,No,7-Jan-25,,0,0,600,,,0,"244,000",,168,0.9702,0.00%,,0,,"150,524","152,735.49","153,933.41","170,621.28","173,751.68","183,129.24","186,264.12","190,137.78","197,420.72","197,420.72","197,420.72","197,420.72","197,420.72","197,420.72","197,420.72","197,420.72","197,420.72","197,420.72",5922.6216,,,
51,Farm_7,LSS-7736,,,24-Jul-24,24-Jul-24,desi,black & white,2 Teeth,luddan,"149,500","4,259",273,273,547.62,259,-5.13%,15,27-Aug-24,303,34,44,1.2941,25-Sep-24,312,63,53,0.8413,22-Oct-24,341,90,82,0.9111,27-Nov-24,366,126,107,0.8492,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,366,27-Nov-24,"219,600",Local Party,Lodhran,No,27-Nov-24,,0,0,600,,,0,"219,600",,127,0.8425,0.00%,,0,,"153,759","181,485.70","182,683.62","188,772.48","191,602.88","200,794.44","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20",6191.856,,,
52,Farm_7,LSS-7738,,,24-Jul-24,24-Jul-24,cross,brown,MT,luddan,"126,000","3,604",231,231,545.45,215,-6.93%,15,27-Aug-24,283,34,68,2,25-Sep-24,317,63,102,1.619,22-Oct-24,341,90,126,1.4,24-Nov-24,355,123,140,1.1382,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,355,24-Nov-24,"213,000",Local Party,Lodhran,No,24-Nov-24,,0,0,600,,,0,"213,000",,124,1.129,0.00%,,0,,"129,604","169,506.44","170,704.37","191,797.68","194,578.08","200,794.44","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20","206,395.20",6191.856,,,
53,Farm_7,LSS-7728,,,24-Jul-24,24-Jul-24,desi,brown,MT,luddan,"137,000","3,869",248,248,552.42,233,-6.05%,15,27-Aug-24,286,34,53,1.5588,25-Sep-24,302,63,69,1.0952,22-Oct-24,336,90,103,1.1444,24-Nov-24,372,123,139,1.1301,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,372,24-Nov-24,"223,200",Local Party,Lodhran,No,24-Nov-24,,0,0,600,,,0,"223,200",,124,1.121,0.00%,,0,,"140,869","171,303.33","172,501.26","182,722.08","185,652.48","197,850.24","200,725.62","200,725.62","200,725.62","200,725.62","200,725.62","200,725.62","200,725.62","200,725.62","200,725.62","200,725.62","200,725.62","200,725.62",6021.7686,,,
54,Farm_7,LSS-7721,,,24-Jul-24,24-Jul-24,desi,black & brown,MT,luddan,"129,500","3,463",222,222,583.33,208,-6.31%,15,27-Aug-24,242,34,34,1,25-Sep-24,274,63,66,1.0476,22-Oct-24,299,90,91,1.0111,11-Nov-24,317,110,109,0.9909,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,317,11-Nov-24,"190,200",SK Live Stock,Raiwind,No,11-Nov-24,,0,0,600,,"3,360",0,"186,840",,111,0.982,0.00%,,0,,"132,963","146,078.51","147,285.77","165,780.96","168,991.36","176,063.16","176,063.16","176,063.16","176,063.16","176,063.16","176,063.16","176,063.16","176,063.16","176,063.16","176,063.16","176,063.16","176,063.16","176,063.16",5281.8948,,,
55,Farm_7,LSS-7762,,,24-Jul-24,24-Jul-24,desi,white,4 Teeth,luddan,"155,500","4,430",284,284,547.54,268,-5.63%,15,27-Aug-24,317,34,49,1.4412,25-Sep-24,346,63,78,1.2381,22-Oct-24,386,90,118,1.3111,11-Nov-24,403,110,135,1.2273,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,403,11-Nov-24,"241,800",SK Live Stock,Raiwind,No,11-Nov-24,,0,0,600,,"4,272",0,"237,528",,111,1.2162,0.00%,,0,,"159,930","189,871.18","191,069.10","209,343.84","214,397.44","230,368.66","230,368.66","230,368.66","230,368.66","230,368.66","230,368.66","230,368.66","230,368.66","230,368.66","230,368.66","230,368.66","230,368.66","230,368.66",6911.0598,,,
56,Farm_7,LSS-7763,,,24-Jul-24,24-Jul-24,desi,brown,MT,luddan,"126,000","3,604",231,231,545.45,216,-6.49%,15,27-Aug-24,277,34,61,1.7941,25-Sep-24,317,63,101,1.6032,22-Oct-24,355,90,139,1.5444,11-Nov-24,371,110,155,1.4091,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,371,11-Nov-24,"222,600",SK Live Stock,Raiwind,No,11-Nov-24,,0,0,600,,"3,932",0,"218,668",,111,1.3964,0.00%,,0,,"129,604","165,912.67","167,110.59","191,797.68","194,578.08","211,867.55","211,867.55","211,867.55","211,867.55","211,867.55","211,867.55","211,867.55","211,867.55","211,867.55","211,867.55","211,867.55","211,867.55","211,867.55",6356.0265,,,
57,Farm_7,LSS-7733,,,24-Jul-24,24-Jul-24,desi,white & black,MT,luddan,"136,000","3,744",240,240,566.67,226,-5.83%,15,27-Aug-24,259,34,33,0.9706,25-Sep-24,295,63,69,1.0952,22-Oct-24,327,90,101,1.1222,27-Nov-24,361,126,135,1.0714,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,361,27-Nov-24,"216,600",Local Party,Lodhran,No,27-Nov-24,,0,0,600,,,0,"216,600",,127,1.063,0.00%,,0,,"139,744","155,131.34","156,329.26","178,486.80","181,487.20","192,550.68","195,519.48","195,519.48","195,519.48","195,519.48","195,519.48","195,519.48","195,519.48","195,519.48","195,519.48","195,519.48","195,519.48","195,519.48",5865.5844,,,
58,Farm_7,LSS-7744,,,24-Jul-24,24-Jul-24,desi,white & brown,2 Teeth,luddan,"145,000","4,118",264,264,549.24,248,-6.06%,15,27-Aug-24,273,34,25,0.7353,25-Sep-24,280,63,32,0.5079,22-Oct-24,331,90,83,0.9222,27-Nov-24,350,126,102,0.8095,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,350,27-Nov-24,"210,000",Local Party,Lodhran,No,27-Nov-24,,0,0,600,,,0,"210,000",,127,0.8031,0.00%,,0,,"149,118","163,516.82","164,714.74","169,411.20","172,561.60","194,906.04","197,833.32","197,833.32","197,833.32","197,833.32","197,833.32","197,833.32","197,833.32","197,833.32","197,833.32","197,833.32","197,833.32","197,833.32",5934.9996,,,
59,Farm_7,LSS-7779,,,24-Jul-24,24-Jul-24,Cross,black & brown,2 Teeth,luddan,"135,000","3,822",245,245,551.02,232,-5.31%,15,27-Aug-24,283,34,51,1.5,25-Sep-24,314,63,82,1.3016,22-Oct-24,341,90,109,1.2111,11-Nov-24,353,110,121,1.1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,353,11-Nov-24,"211,800",SK Live Stock,Raiwind,No,11-Nov-24,,0,0,600,,"3,742",0,"208,058",,111,1.0901,0.00%,,0,,"138,822","169,506.44","170,704.37","189,982.56","192,792.96","200,794.44","200,794.44","200,794.44","200,794.44","200,794.44","200,794.44","200,794.44","200,794.44","200,794.44","200,794.44","200,794.44","200,794.44","200,794.44",6023.8332,,,
60,Farm_7,LSS-7760,,,24-Jul-24,24-Jul-24,desi,brown,MT,luddan,"139,000","3,838",246,246,565.04,231,-6.10%,15,27-Aug-24,284,34,53,1.5588,25-Sep-24,321,63,90,1.4286,22-Oct-24,344,90,113,1.2556,11-Nov-24,352,110,121,1.1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,352,11-Nov-24,"211,200",SK Live Stock,Raiwind,No,11-Nov-24,,0,0,600,,"3,731",0,"207,469",,111,1.0901,0.00%,,0,,"142,838","170,105.41","171,303.33","194,217.84","196,958.24","202,560.96","202,560.96","202,560.96","202,560.96","202,560.96","202,560.96","202,560.96","202,560.96","202,560.96","202,560.96","202,560.96","202,560.96","202,560.96",6076.8288,,,
61,Farm_7,LSS-7757,,,24-Jul-24,24-Jul-24,desi,brown,MT,luddan,"128,500","3,416",234,234,549.15,219,-6.41%,15,27-Aug-24,277,34,58,1.7059,25-Sep-24,312,63,93,1.4762,22-Oct-24,340,90,121,1.3444,24-Nov-24,360,123,141,1.1463,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Deworming,50,24-Jul-24,FMD,2,7-Aug-24,Doramax,,,,,,,,,,,,,,360,24-Nov-24,"216,000",Local Party,Lodhran,No,24-Nov-24,,0,0,600,,,0,"216,000",,124,1.1371,0.00%,,0,,"131,916","165,912.67","167,110.59","188,772.48","191,602.88","200,205.60","205,808.85","205,808.85","205,808.85","205,808.85","205,808.85","205,808.85","205,808.85","205,808.85","205,808.85","205,808.85","205,808.85","205,808.85",6174.2655,,,
62,Farm_4,LSS-7847,,,24-Jul-24,24-Jul-24,Desi Cross,Red White,Milk,Ludan,"59,000","4,687",130,130,453.85,122,-6.15%,15,22-Aug-24,156,29,34,1.1724,24-Sep-24,192,62,70,1.129,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Ivermectin,4,26-Jul-24,FMD,,,DEWORMING,40,,HS,2,8-Mar-24,BQ,2,8/7/2024,LUMPY,2,,,,214,16-Oct-24,0,SK,Raiwand,No,17-Oct-24,103,0,0,"1,110","6,500","2,794","114,330","118,036",,85,1.0824,48.13%,,0,,"63,687","91,663.90","113,404.70","114,186.24","134,232.70","134,232.70","134,232.70","134,232.70","134,232.70","134,232.70","134,232.70","134,232.70","134,232.70","134,232.70","134,232.70","134,232.70","134,232.70","134,232.70",4026.981,,,
63,Farm_4,LSS-7866,,,24-Jul-24,24-Jul-24,Desi Cross,Black,Milk,Ludan,"58,500","4,687",130,130,450,124,-4.62%,15,22-Aug-24,149,29,25,0.8621,24-Sep-24,168,62,44,0.7097,24-Oct-24,214,92,90,0.9783,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Ivermectin,4,26-Jul-24,FMD,,,DEWORMING,40,,HS,2,8-Mar-24,BQ,2,8/7/2024,LUMPY,2,,,,216,27-Oct-24,0,SK,Raiwand,No,28-Oct-24,98,0,0,"1,100","6,500","3,042","107,800","111,258",,96,0.9583,45.37%,,0,,"63,187","85,402.66","109,291.57","99,912.96","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90",3599.337,,,
64,Farm_4,LSS-7848,,,24-Jul-24,24-Jul-24,Desi Cross,White,Milk,Ludan,"50,000","4,687",115,115,434.78,115,0.00%,15,22-Aug-24,143,29,28,0.9655,24-Sep-24,157,62,42,0.6774,24-Oct-24,149,92,34,0.3696,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Ivermectin,4,26-Jul-24,FMD,,,DEWORMING,40,,HS,2,8-Mar-24,BQ,2,8/7/2024,LUMPY,2,,,,139,14-Nov-24,"110,000",Irfan,,No,15-Nov-24,,0,0,,,,0,"110,000",,114,0.2105,0.00%,,0,,"54,687","81,963.62","105,766.04","93,371.04","110,354.07","82,510.24","82,510.24","82,510.24","82,510.24","82,510.24","82,510.24","82,510.24","82,510.24","82,510.24","82,510.24","82,510.24","82,510.24","82,510.24",2475.3072,,,
65,Farm_4,LSS-7810,,,24-Jul-24,24-Jul-24,Desi,Red,Milk,Ludan,"73,500","4,687",155,155,474.19,147,-5.16%,15,22-Aug-24,179,29,32,1.1034,24-Sep-24,213,62,66,1.0645,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Ivermectin,4,26-Jul-24,FMD,,,DEWORMING,40,,HS,2,8-Mar-24,BQ,2,8/7/2024,LUMPY,2,,,,211,5-Oct-24,0,SK,Raiwand,Yes,6-Oct-24,106,22,630,"1,110","5,400","2,723","107,100","109,777",,74,0.8649,50.24%,,0,,"78,187","105,178.45","130,384.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12","130,194.12",3905.8236,,,
66,Farm_4,LSS-7794,,,24-Jul-24,24-Jul-24,Desi Cross,Red,Milk,Ludan,"58,500","4,687",130,130,450,130,0.00%,15,22-Aug-24,155,29,25,0.8621,24-Sep-24,180,62,50,0.8065,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Ivermectin,4,26-Jul-24,FMD,,,DEWORMING,40,,HS,2,8-Mar-24,BQ,2,8/7/2024,LUMPY,2,,,,197,5-Oct-24,0,SK,Raiwand,Yes,6-Oct-24,97,20,630,"1,110","5,400","2,542","98,070","100,928",,74,0.9054,49.24%,,0,,"63,187","91,076.31","112,817.11","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60","107,049.60",3211.488,,,
67,Farm_4,LSS-7828,,,24-Jul-24,24-Jul-24,Desi Cross,Red,Milk,Ludan,"53,000","4,687",120,120,441.67,112,-6.67%,15,22-Aug-24,141,29,29,1,24-Sep-24,174,62,62,1,23-Oct-24,218,91,106,1.1648,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Ivermectin,4,26-Jul-24,FMD,,,DEWORMING,40,,HS,2,8-Mar-24,BQ,2,8/7/2024,LUMPY,2,,,,221,27-Oct-24,0,SK,Raiwand,Yes,28-Oct-24,99,22,900,"1,100","6,500","3,112","104,500","107,888",,96,1.1354,44.80%,,0,,"57,687","80,817.28","104,590.86","103,481.28","123,541.60","123,541.60","123,541.60","123,541.60","123,541.60","123,541.60","123,541.60","123,541.60","123,541.60","123,541.60","123,541.60","123,541.60","123,541.60","123,541.60",3706.248,,,
68,Farm_4,LSS-7845,,,24-Jul-24,24-Jul-24,Desi Cross,Red,Milk,Ludan,"54,000","4,687",120,120,450,113,-5.83%,15,22-Aug-24,138,29,25,0.8621,24-Sep-24,168,62,55,0.8871,24-Oct-24,205,92,92,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Ivermectin,4,26-Jul-24,FMD,,,DEWORMING,40,,HS,2,8-Mar-24,BQ,2,8/7/2024,LUMPY,2,,,,207,27-Oct-24,0,SK,Raiwand,No,28-Oct-24,105,0,0,"1,100","6,500","2,915","115,500","119,085",,96,0.9792,50.72%,,0,,"58,687","79,097.76","102,828.09","99,912.96","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90","119,977.90",3599.337,,,
69,Farm_4,LSS-7826,,,24-Jul-24,24-Jul-24,Desi Cross,Red,Milk,Ludan,"48,000","4,687",110,110,436.36,106,-3.64%,15,22-Aug-24,139,29,33,1.1379,24-Sep-24,169,62,63,1.0161,24-Oct-24,216,92,110,1.1957,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,24-Jul-24,Ivermectin,4,26-Jul-24,FMD,,,DEWORMING,40,,HS,2,8-Mar-24,BQ,2,8/7/2024,LUMPY,2,,,,218,27-Oct-24,0,SK,Raiwand,Yes,28-Oct-24,99,24,900,"1,100","6,500","3,070","104,100","107,530",,96,1.1667,45.41%,,0,,"52,687","79,670.94","103,415.68","100,507.68","120,571.85","120,571.85","120,571.85","120,571.85","120,571.85","120,571.85","120,571.85","120,571.85","120,571.85","120,571.85","120,571.85","120,571.85","120,571.85","120,571.85",3617.1555,,,
70,Farm_1,LSS-7527,,,25-Jul-24,25-Jul-24,Dasi Cross,W/B...,Milk Teeth,Karor Lal Esan,"61,105",0,121,121,505,121,0.00%,15,27-Aug-24,156,33,35,1.0606,25-Sep-24,186,62,65,1.0484,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,25-Jul-24,Deworming,30,25-Jul-24,Ivermectin,,26-Jul-24,FMD,2,27-Jul-24,HS,2,,,,,,,,,,188,12-Oct-24,,SK LiveStock,Raiwind,Yes,13-Oct-24,88,22,600,"1,115","4,500",740,"86,790","90,550",,80,0.8375,46.81%,,0,,"61,105","91,663.90","113,404.70","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92","110,617.92",3318.5376,,,
71,Farm_1,LSS-7571,,,25-Jul-24,25-Jul-24,Friesian Cross,Black,Milk Teeth,Karor Lal Esan,"92,920",0,184,184,505,184,0.00%,15,27-Aug-24,188,33,4,0.1212,25-Sep-24,196,62,12,0.1935,23-Oct-24,268,90,84,0.9333,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,25-Jul-24,Deworming,30,25-Jul-24,Ivermectin,,26-Jul-24,FMD,2,27-Jul-24,HS,2,,,,,,,,,,263,18-Nov-24,0,SK LiveStock,Raiwind,No,21-Nov-24,137,0,0,"1,100","5,500",673,"150,700","155,527",,117,0.6752,52.09%,,0,,"92,920","110,466.75","135,816.80","116,565.12","128,887.15","157,809.12","163,125.72","163,125.72","163,125.72","163,125.72","163,125.72","163,125.72","163,125.72","163,125.72","163,125.72","163,125.72","163,125.72","163,125.72",4893.7716,,,
72,Farm_1,LSS-7581,,,25-Jul-24,25-Jul-24,Dasi Cross,RED,Milk Teeth,Karor Lal Esan,"60,095",0,119,119,505,119,0.00%,15,27-Aug-24,150,33,31,0.9394,25-Sep-24,178,62,59,0.9516,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,25-Jul-24,Deworming,30,25-Jul-24,Ivermectin,,26-Jul-24,FMD,2,27-Jul-24,HS,2,,,,,,,,,,200,12-Oct-24,,SK LiveStock,Raiwind,Yes,13-Oct-24,95,22,700,"1,115","4,500","1,872","96,795","99,423",,80,1.0125,47.50%,,0,,"60,095","85,975.83","109,879.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16","105,860.16",3175.8048,,,
73,Farm_1,LSS-7583,,,25-Jul-24,25-Jul-24,Friesian Cross,Brown,Milk Teeth,Karor Lal Esan,"62,620",0,124,124,505,124,0.00%,15,27-Aug-24,132,33,8,0.2424,25-Sep-24,151,62,27,0.4355,23-Oct-24,165,90,41,0.4556,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,25-Jul-24,Deworming,30,25-Jul-24,Ivermectin,,26-Jul-24,FMD,2,27-Jul-24,HS,2,,,,,,,,,,172,28-Oct-24,0,SK LiveStock,Raiwind,No,29-Oct-24,85,0,0,"1,100","4,500",591,"93,500","97,409",,96,0.5,49.42%,,0,,"62,620","75,658.73","99,302.56","89,802.72","99,376.44","99,376.44","99,376.44","99,376.44","99,376.44","99,376.44","99,376.44","99,376.44","99,376.44","99,376.44","99,376.44","99,376.44","99,376.44","99,376.44",2981.2932,,,
74,Farm_1,LSS-7589,,,25-Jul-24,25-Jul-24,Friesian Cross,Black,Milk Teeth,Karor Lal Esan,"61,105",0,121,121,505,121,0.00%,15,27-Aug-24,117,33,-4,-0.1212,25-Sep-24,142,62,21,0.3387,23-Oct-24,168,90,47,0.5222,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,25-Jul-24,Deworming,30,25-Jul-24,Ivermectin,,26-Jul-24,FMD,2,27-Jul-24,HS,2,,,,,,,,,,209,27-Oct-24,0,SK LiveStock,Raiwind,No,7-Nov-24,94,0,0,"1,100","4,500",0,"103,400","107,900",,95,0.9263,44.98%,,0,,"61,105","67,061.15","90,488.72","82,392.66","94,176.51","96,124.56","96,124.56","96,124.56","96,124.56","96,124.56","96,124.56","96,124.56","96,124.56","96,124.56","96,124.56","96,124.56","96,124.56","96,124.56",2883.7368,,,
75,Farm_1,LSS-7676,,,25-Jul-24,25-Jul-24,Friesian Cross,B/W,Milk Teeth,Karor Lal Esan,"51,510",0,102,102,505,102,0.00%,15,27-Aug-24,126,33,24,0.7273,25-Sep-24,158,62,56,0.9032,23-Oct-24,186,90,84,0.9333,27-Nov-24,190,125,88,0.704,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,25-Jul-24,Deworming,30,25-Jul-24,Ivermectin,,26-Jul-24,FMD,2,27-Jul-24,HS,2,,,,,,,,,,155,3-Oct-24,"86,025",,Mandi,No,3-Oct-24,,0,0,,,,0,"86,025",,71,0.7465,0.00%,,0,,"51,510","72,219.70","95,777.02","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76","93,965.76",2818.9728,,,
